"OIB"|"NAZIV"|"BR_ZAP_2022"|"AKTIVNOST"
"85857025735"|"NAMURO FABINI j.d.o.o."|1|"aktivan"
"62920797760"|"M.B.M BEZINA d. o. o."||"aktivan"
"16265090775"|"Princess Yachts Adriatic d.o.o."|6|"aktivan"
"32960994665"|"Ljekarna DOMINKO"|10|"aktivan"
"83586124911"|"PARO j. d. o. o."|1|"aktivan"
"83630676739"|"ALTICOM d.o.o."|2|"aktivan"
"62776937751"|"MARCIPAN d.o.o."|2|"aktivan"
"54177996122"|"TONI, obrt za usluge, vl. Anita Trevižan, Split, Put sv. Ižidora 46"||"aktivan"
"04488702527"|"OBRT ZA HORTIKULTURU I UZGOJ ŽITARICA 'AGROBOR', VL. BORIS VEŠLIGAJ, ZAGREB, BIJENIK 92"||"aktivan"
"95115891017"|"IVAN GRADNJA j.d.o.o."|2|"aktivan"
"89584175002"|"ICE MEDIA j.d.o.o."|1|"aktivan"
"59038459803"|"GANI d.o.o."|0|"aktivan"
"17638278442"|"FC BABY STAR, obrt za uslužne djelatnosti, vl. Mihaela Mihaliæ, Ðakovo, Mihanoviæeva 12"||"aktivan"
"17238976711"|"ULTRA LUX d.o.o."|2|"aktivan"
"17863542417"|"SVEA EKONOMI d.o.o."|49|"aktivan"
"89989814718"|"OPG ALEKSANDAR PETROVIÆ"||"aktivan"
"65813196004"|"ŠKET ÆURKOVIÆ d.o.o."|0|"nepoznato"
"48978078405"|"EXPLORO VL.MATE JOVIÆ"||"aktivan"
"42985853829"|"RADAL d. o. o."|1|"aktivan"
"29907795244"|"ZUBOTEHNIÈKI LABORATORIJ"||"aktivan"
"18678935300"|"AUTOPRIJEVOZNIK, DUBRAVKO ŠRAJBEK, VARAŽDIN, HALLEROVA ALEJA 36"|6|"aktivan"
"33076791519"|"Baltazar Style j.d.o.o."|1|"aktivan"
"82671518947"|"DIVES PROJEKT d.o.o."|3|"aktivan"
"91467117650"|"Phoenix-Fly d.o.o."|2|"aktivan"
"06323430851"|"IT MANAGEMENT d.o.o."|8|"aktivan"
"53510145651"|"SPECIJ.OFTALMOLOŠKA ORDINACIJA BAÈIÆ DINKO"||"aktivan"
"11507796874"|"ODVJETNIÈKI URED MARINA FELLNER"||"aktivan"
"45779486368"|"CONSUL, obrt za poslovno savjetovanje vl. Miroslav Matišiæ, Mastrinka, Ulica Ivana Mažuraniæa 13"||"aktivan"
"18094899413"|"IMB INSTALACIJE, obrt za usluge, vl. Ivan Bulj, SUHAÈ, Suhaè 88"||"aktivan"
"20145576145"|"NATURA KAMENJAK d. o. o."|0|"aktivan"
"79085468579"|"DB Engineering & Consulting GmbH"|8|"aktivan"
"31728187872"|"TEHNOMODUS d.o.o."|5|"aktivan"
"78720433825"|"VERTO, ugostiteljski obrt, vl. Verica Bošnjakoviæ, B. J. Jelaèiæa 86"||"aktivan"
"33786779467"|"IZVOR INFORMACIJA d.o.o."||"aktivan"
"47651785542"|"AUTO-ŠKOLA BUŽANÈIÆ, D.O.O. NAŠICE"|4|"aktivan"
"29747498949"|"KOLONA, obrt za graðevinske radove, vl. Slobodan Laco, OTOK, Strana II 20"||"aktivan"
"94621389939"|"ORICA d. o. o."|0|"aktivan"
"49886701260"|"SUPER GLANZ,obrt za èišæenje, vl. Nada Babiæ, Poreè, Varvari, Piantade 43"||"aktivan"
"53771674959"|"StIv USLUGE d.o.o."|1|"aktivan"
"14667999105"|"Aututto Completo d.o.o."|0|"aktivan"
"21550067767"|"TRADICIJA I DOM Obrt za restauraciju,izradu i trgovinu tradicionalnog namještaja vl.Vjekoslav Iveziæ, Bratina 197"||"aktivan"
"03758153279"|"FRIGEL d.o.o."|11|"aktivan"
"52509251557"|"SunnySide Property Management, obrt za upravljanje nekretninama, vl. Tanja Temšiæ, Višnjan, Trg Budièina 5"||"aktivan"
"42601271109"|"Elektroservis i instalacije KRK vl. Iko Lukaèiæ"||"aktivan"
"10618326160"|"SEOSKO DOMAÆINSTVO 'MATEZOVIÆ' IZLETIŠTE"||"aktivan"
"50538528899"|"ENVIX PROFESSIONAL d.o.o."||"aktivan"
"72428773253"|"VIDEO PROFESIONAL, Franjo Turk, Pavlovec Zaboèki 20, Zabok"||"aktivan"
"26756511178"|"DINOLORENA j.d.o.o. u steèaju"||"ugaÅ¡en"
"39422318776"|"FELIX REMUS d.o.o."|1|"aktivan"
"74922206040"|"PeroGorki, obrt za usluge, vl.Goran Perèiè, Sesvete, Ulica Ljudevita Posavskog 27b"||"aktivan"
"61971372147"|"Glavaš INTEGRO j.d.o.o."|1|"aktivan"
"53275452810"|"TU SHOP j.d.o.o."|0|"aktivan"
"41429867098"|"VOLNIK d. o. o."|1|"aktivan"
"61830093372"|"ATLANTIC NAUTICA M&D j. d. o. o."|2|"aktivan"
"70573388637"|"DJ Stanovi d.o.o."||"aktivan"
"99238221645"|"'KODOBA', knjigovodstvene usluge, Mladen Koziæ, Mokošica, Izmeðu dolaca 11"||"aktivan"
"02656929099"|"ANTIVA d.o.o."|6|"aktivan"
"07705500482"|"OBRT MARIO TODOROVIÆ, obrt za obrazovanje i pouèavanje u podruèju sporta i rekreacije, Vl. Mario Todoroviæ, Pupnat, Kneže 68"||"aktivan"
"77738802182"|"GRAÐEVNISKI OBRT 'GRADNJA MAGDIÆ' VRH, VL.DRAGAN MAGDIÆ, VRH 152"||"aktivan"
"02569557109"|"MELINA j.d.o.o."|2|"aktivan"
"75076146429"|"ACUTIS, obrt za završne graðevinske radove,vl. Josip Biluš, Èista Velika, Èista Velika II 8"||"aktivan"
"85089114877"|"ROLETE - INTERIJERI, obrt za trgovinu i usluge, vl. Mate Kataliniæ, Sesvete, Sesvetska cesta 13"||"aktivan"
"19606321483"|"OTMIÈARI PAŽNJE, OBRT ZA USLUGE VL. NEVEN RINÈIÆ, ZAGREB, ULICA ZVONIMIRA CIMERMANÈIÆA 5"||"aktivan"
"53022743746"|"KAŠÈE d.o.o."||"nepoznato"
"54242816396"|"KOLADU j.d.o.o."|0|"aktivan"
"18376805890"|"RRIF-PLUS d.o.o."|16|"aktivan"
"14939106469"|"Zenith Management & Consulting d.o.o."|0|"aktivan"
"17364178953"|"MUHOBERAC j.d.o.o."|1|"aktivan"
"66716883667"|"DEA frizerski studio, vl. Andreja GRILEC KRALJ, Kumrovec, Risvica 103A"||"aktivan"
"96397230931"|"L-trade d.o.o."|6|"aktivan"
"46332475458"|"GRADBENIK d.o.o."|5|"aktivan"
"55585156583"|"BARTOL MEDIA, obrt za izradu promotivnih materijala, vl. Bartol Jurlina, Zadar, Ulica Tomislava Ivèiæa 22 B"||"aktivan"
"08762558356"|"URAR ŽIVKOVIÆ d.o.o."|3|"aktivan"
"98898144013"|"KV TRANSPORTI j.d.o.o."|1|"aktivan"
"41594251809"|"POSTOLARSKI OBRT 'BENC', ZAGREB, VL SINIŠA BENC, ZAGREB, SELSKA CESTA 116 B"||"aktivan"
"37579948288"|"ODVJETNIÈKI URED TATJANA PETROVIÆ"||"aktivan"
"42121450060"|"DOLAC CONSULTING, uslužni obrt vl. Danko Valenèiæ, Nerežišæa, Dolac 19 a."||"aktivan"
"50292028931"|"ID SISTEM, obrt za elektroinstalacije, vl. Ingmar Dobriæ, Pula, Kaštanjer 75"||"aktivan"
"38603159660"|"Cosor obrt, kurirska služba, Mario Kosor, Šibenik, Sopaljska 43a"||"aktivan"
"08028883719"|"INFINITY, FRIZERSKI STUDIO, vl. LEA SABLJAK, PLITVIÈKA JEZERA, JOSIPA JOVIÆA 2"||"privremena obustava-mirovanje"
"13759550975"|"MSTV j.d.o.o."|4|"aktivan"
"28533390010"|"LORY ZLATARNICA"||"aktivan"
"83518608492"|"NATURA DUBROVNIK j.d.o.o."|4|"aktivan"
"69630780200"|"HONESTE d.o.o."|1|"aktivan"
"84397175963"|"JAMBREŠIÆ, OBRT ZA GRAÐEVINARSTVO, VL. MIRKO JAMBREŠIÆ, ZAGREB, ÈMARCI 13"||"aktivan"
